focalMethod,X,ReabilityScore,,usabilityScore,,Y,ReabilityScore,,usabilityScore,,Z,ReabilityScore,,usabilityScore,
"public FromTagData getCommentFrom() {
    return commentFrom;
}","@Test public void testGetCommentFrom() { FromTagData commentFrom = new FromTagData(); commentFrom.setCommentFrom(commentFrom); assertEquals(commentFrom, commentData.getCommentFrom()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test08() throws Throwable {
    CommentData commentData0 = new CommentData();
    FromTagData fromTagData0 = commentData0.getCommentFrom();
    assertNull(fromTagData0);
}",3,3,3,3,"    @Test
    public void testGetCommentFrom() {
        // Create a CommentData object
        CommentData commentData = new CommentData();

        // Create a FromTagData object
        FromTagData expectedCommentFrom = new FromTagData();

        // Set the expected commentFrom object in CommentData
        commentData.setCommentFrom(expectedCommentFrom);

        // Call the getCommentFrom() method
        FromTagData actualCommentFrom = commentData.getCommentFrom();

        // Assert that the returned commentFrom object is the same as the expected commentFrom object
        assertEquals(expectedCommentFrom, actualCommentFrom);
    }",3,3,3,3
"public void setCommentFrom(FromTagData commentFrom) {
    this.commentFrom = commentFrom;
}","@Test public void testSetCommentFrom() { FromTagData commentFrom = new FromTagData(); commentData.setCommentFrom(commentFrom); assertEquals(commentFrom, commentData.getCommentFrom()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test10() throws Throwable {
    CommentData commentData0 = new CommentData();
    FromTagData fromTagData0 = new FromTagData();
    commentData0.setCommentFrom(fromTagData0);
    FromTagData fromTagData1 = commentData0.getCommentFrom();
    assertNull(fromTagData1.getFullName());
}",3,3,3,3,"@Test
public void testSetCommentFrom() {
    CommentData commentData = new CommentData();
    FromTagData fromTagData = new FromTagData();

    // Fix the buggy line
    fromTagData.setFullName(""propertyValue"");

    commentData.setCommentFrom(fromTagData);
    assertEquals(fromTagData, commentData.getCommentFrom());
}",3,3,2,2
"public void setMeta(Meta meta) {
    this.meta = meta;
}","@Test public void setMeta() { MediaCommentResponse response = new MediaCommentResponse(); response.setMeta(new Meta()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test0() throws Throwable {
    MediaCommentResponse mediaCommentResponse0 = new MediaCommentResponse();
    Meta meta0 = new Meta();
    mediaCommentResponse0.setMeta(meta0);
    Meta meta1 = mediaCommentResponse0.getMeta();
    assertNull(meta1.getErrorType());
}",2,2,2,2,"    @Test
    public void testSetMeta() {
        // Create a new instance of MediaCommentResponse
        MediaCommentResponse response = new MediaCommentResponse();

        // Create a new instance of Meta
        Meta meta = new Meta();

        // Set the Meta object using the setMeta method
        response.setMeta(meta);

        // Verify that the Meta object is correctly assigned to the instance variable 'meta'
        assertEquals(meta, response.getMeta());
    }",3,3,3,3
"public Meta getMeta() {
    return meta;
}","@Test public void testGetMeta() { MediaCommentResponse response = new MediaCommentResponse(); assertEquals(meta, response.getMeta()); }
",3,3,3,3,"@Test(timeout = 4000)
public void test0() throws Throwable {
    MediaCommentResponse mediaCommentResponse0 = new MediaCommentResponse();
    Meta meta0 = new Meta();
    mediaCommentResponse0.setMeta(meta0);
    Meta meta1 = mediaCommentResponse0.getMeta();
    assertNull(meta1.getErrorType());
}",2,2,2,2,"    @Test
    public void testGetMeta() {
        // Create a new instance of MediaCommentResponse
        MediaCommentResponse response = new MediaCommentResponse();

        // Create a new instance of Meta
        Meta expectedMeta = new Meta();
        expectedMeta.setCode(200);
        expectedMeta.setErrorType(""None"");

        // Set the expected Meta object to the response
        response.setMeta(expectedMeta);

        // Call the getMeta() method
        Meta actualMeta = response.getMeta();

        // Assert that the actual Meta object is equal to the expected Meta object
        assertEquals(expectedMeta, actualMeta);
    }",3,3,3,3
"public void setCommentData(CommentData commentData) {
    this.commentData = commentData;
}","@Test public void testSetCommentData() { MediaCommentResponse response = new MediaCommentResponse(); response.setCommentData(new CommentData()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test3() throws Throwable {
    MediaCommentResponse mediaCommentResponse0 = new MediaCommentResponse();
    CommentData commentData0 = new CommentData();
    mediaCommentResponse0.setCommentData(commentData0);
    CommentData commentData1 = mediaCommentResponse0.getCommentData();
    assertNull(commentData1.getId());
}",2,1,1,1,"    @Test
    public void testSetCommentData() {
        // Create a new instance of MediaCommentResponse
        MediaCommentResponse mediaCommentResponse = new MediaCommentResponse();

        // Create a new instance of CommentData
        CommentData commentData = new CommentData();

        // Set the CommentData object using the setCommentData method
        mediaCommentResponse.setCommentData(commentData);

        // Verify that the commentData instance variable is set correctly
        assertEquals(commentData, mediaCommentResponse.getCommentData());
    }",3,3,3,3
"public CommentData getCommentData() {
    return commentData;
}","@Test public void testGetCommentData() { MediaCommentResponse response = new MediaCommentResponse(); assertEquals(commentData, response.getCommentData()); }
",3,2,2,2,"@Test(timeout = 4000)
public void test3() throws Throwable {
    MediaCommentResponse mediaCommentResponse0 = new MediaCommentResponse();
    CommentData commentData0 = new CommentData();
    mediaCommentResponse0.setCommentData(commentData0);
    CommentData commentData1 = mediaCommentResponse0.getCommentData();
    assertNull(commentData1.getId());
}",2,1,1,1,"    @Test
    public void testGetCommentData() {
        // Create a new instance of MediaCommentResponse
        MediaCommentResponse response = new MediaCommentResponse();

        // Create a new CommentData object
        CommentData expectedCommentData = new CommentData();

        // Set the CommentData object in the MediaCommentResponse instance
        response.setCommentData(expectedCommentData);

        // Call the getCommentData() method
        CommentData actualCommentData = response.getCommentData();

        // Assert that the returned CommentData object is the same as the expected CommentData object
        assertEquals(expectedCommentData, actualCommentData);
    }",3,3,3,3
"public void setMeta(Meta meta) {
    this.meta = meta;
}",,1,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    MediaCommentsFeed mediaCommentsFeed0 = new MediaCommentsFeed();
    Meta meta0 = new Meta();
    meta0.setCode(3635);
    mediaCommentsFeed0.setMeta(meta0);
    Meta meta1 = mediaCommentsFeed0.getMeta();
    assertNull(meta1.getErrorType());
}",2,2,2,2,"    @Test
    public void testSetMeta() {
        // Create a new instance of MediaCommentsFeed
        MediaCommentsFeed mediaCommentsFeed = new MediaCommentsFeed();

        // Create a new instance of Meta
        Meta meta = new Meta();

        // Set the Meta object using the setMeta method
        mediaCommentsFeed.setMeta(meta);

        // Verify that the Meta object is correctly assigned to the instance variable 'meta'
        assertEquals(meta, mediaCommentsFeed.getMeta());
    }",3,3,3,3
"public Meta getMeta() {
    return meta;
}",,1,1,1,1,"@Test(timeout = 4000)
public void test0() throws Throwable {
    MediaCommentsFeed mediaCommentsFeed0 = new MediaCommentsFeed();
    Meta meta0 = new Meta();
    meta0.setCode(3635);
    mediaCommentsFeed0.setMeta(meta0);
    Meta meta1 = mediaCommentsFeed0.getMeta();
    assertNull(meta1.getErrorType());
}",2,2,2,2,"    @Test
    public void testGetMeta() {
        // Create a MediaCommentsFeed object
        MediaCommentsFeed mediaCommentsFeed = new MediaCommentsFeed();

        // Create a Meta object
        Meta expectedMeta = new Meta();
        expectedMeta.setCode(200);
        expectedMeta.setErrorType(""None"");

        // Set the Meta object in the MediaCommentsFeed object
        mediaCommentsFeed.setMeta(expectedMeta);

        // Call the getMeta() method
        Meta actualMeta = mediaCommentsFeed.getMeta();

        // Assert that the returned Meta object is equal to the expected Meta object
        assertEquals(expectedMeta, actualMeta);
    }",3,3,3,3
"public void setCommentDataList(List<CommentData> commentDataList) {
    this.commentDataList = commentDataList;
}","@Test public void testSetCommentDataList() { MediaCommentsFeed feed = new MediaCommentsFeed(); feed.setCommentDataList(new ArrayList<CommentData>()); }
",2,2,2,2,"@Test(timeout = 4000)
public void test2() throws Throwable {
    MediaCommentsFeed mediaCommentsFeed0 = new MediaCommentsFeed();
    LinkedList<CommentData> linkedList0 = new LinkedList<CommentData>();
    mediaCommentsFeed0.setCommentDataList(linkedList0);
    List<CommentData> list0 = mediaCommentsFeed0.getCommentDataList();
    assertEquals(0, list0.size());
}",3,3,2,2,"@Test
public void testSetCommentDataList() {
    MediaCommentsFeed mediaCommentsFeed = new MediaCommentsFeed();

    List<CommentData> commentDataList = new ArrayList<CommentData>();

    CommentData commentData1 = new CommentData();
    CommentData commentData2 = new CommentData();
    commentDataList.add(commentData1);
    commentDataList.add(commentData2);
    mediaCommentsFeed.setCommentDataList(commentDataList);
    assertEquals(commentDataList, mediaCommentsFeed.getCommentDataList());
}",3,3,3,3
"public List<CommentData> getCommentDataList() {
    return commentDataList;
}","@Test public void testGetCommentDataList() throws Exception { MediaCommentsFeed feed = new MediaCommentsFeed(); feed.setCommentDataList(new ArrayList<CommentData>()); assertEquals(1, feed.getCommentDataList().size()); }
",3,3,2,2,"@Test(timeout = 4000)
public void test2() throws Throwable {
    MediaCommentsFeed mediaCommentsFeed0 = new MediaCommentsFeed();
    LinkedList<CommentData> linkedList0 = new LinkedList<CommentData>();
    mediaCommentsFeed0.setCommentDataList(linkedList0);
    List<CommentData> list0 = mediaCommentsFeed0.getCommentDataList();
    assertEquals(0, list0.size());
}",3,3,3,3,"@Test
public void testGetCommentDataList() {
    MediaCommentsFeed mediaCommentsFeed = new MediaCommentsFeed();

    List<CommentData> commentDataList = new LinkedList<CommentData>();

    CommentData commentData1 = new CommentData();
    CommentData commentData2 = new CommentData();
    commentDataList.add(commentData1);
    commentDataList.add(commentData2);
    mediaCommentsFeed.setCommentDataList(commentDataList);
    List<CommentData> retrievedCommentDataList = mediaCommentsFeed.getCommentDataList();
    assertEquals(commentDataList, retrievedCommentDataList);
}",3,3,3,3
"@Override
public String toString() {
    return String.format(""MediaCommentsFeed [commentDataList=%s, meta=%s]"", commentDataList, meta);
}",,1,1,1,1,"@Test(timeout = 4000)
public void test3() throws Throwable {
    MediaCommentsFeed mediaCommentsFeed0 = new MediaCommentsFeed();
    String string0 = mediaCommentsFeed0.toString();
    assertEquals(""MediaCommentsFeed [commentDataList=null, meta=null]"", string0);
}",3,3,3,3,"@Test
public void testToString() {
    MediaCommentsFeed mediaCommentsFeed = new MediaCommentsFeed();
    mediaCommentsFeed.setCommentDataList(null);
    mediaCommentsFeed.setMeta(null);
    
    String expected = ""MediaCommentsFeed [commentDataList=null, meta=null]"";
    String actual = mediaCommentsFeed.toString();
    
    assertEquals(expected, actual);
}",3,3,3,3
"public void setWidth(String width) {
    this.width = width;
}","@Test public void setWidth() { OembedInformation oembedInformation = new OembedInformation(); oembedInformation.setWidth(""100""); }
",3,2,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    OembedInformation oembedInformation0 = new OembedInformation();
    oembedInformation0.setWidth(""height="");
    String string0 = oembedInformation0.getWidth();
    assertEquals(""height="", string0);
}",2,2,3,3,"    @Test
    public void testSetWidth() {
        // Create an instance of OembedInformation
        OembedInformation oembed = new OembedInformation();

        // Set the width using the setWidth method
        String width = ""100"";
        oembed.setWidth(width);

        // Verify that the width property is set correctly
        assertEquals(width, oembed.getWidth());
    }",3,3,3,3
"public String getWidth() {
    return width;
}","@Test public void testGetWidth() { System.out.println(""getWidth""); OembedInformation instance = new OembedInformation(); String result = instance.getWidth(); Assert.assertEquals(result, ""result""); }
",3,3,2,2,"@Test(timeout = 4000)
public void test00() throws Throwable {
    OembedInformation oembedInformation0 = new OembedInformation();
    oembedInformation0.setWidth(""height="");
    String string0 = oembedInformation0.getWidth();
    assertEquals(""height="", string0);
}",2,2,3,3,"    @Test
    public void testGetWidth() {
        // Create an instance of OembedInformation
        OembedInformation oembed = new OembedInformation();

        // Set the width property
        oembed.setWidth(""500"");

        // Call the getWidth() method
        String width = oembed.getWidth();

        // Assert that the returned width is equal to the set value
        assertEquals(""500"", width);
    }",3,3,3,3
"public void setVersion(String version) {
    this.version = version;
}","@Test public void setVersion() { OembedInformation oembedInformation = new OembedInformation(); oembedInformation.setVersion(""1.0.0""); }
",3,3,2,2,"@Test(timeout = 4000)
public void test02() throws Throwable {
    OembedInformation oembedInformation0 = new OembedInformation();
    oembedInformation0.setVersion(""org.jinstagram.entity.oembed.OembedInformation"");
    String string0 = oembedInformation0.getVersion();
    assertEquals(""org.jinstagram.entity.oembed.OembedInformation"", string0);
}",3,3,3,3,"    @Test
    public void testSetVersion() {
        // Create an instance of OembedInformation
        OembedInformation oembed = new OembedInformation();

        // Set the version attribute using the setVersion method
        String version = ""1.0"";
        oembed.setVersion(version);

        // Verify that the version attribute has been updated correctly
        assertEquals(version, oembed.getVersion());
    }",3,3,3,3
